Menu item,Meal Type,Food Type
Riz au lait maison à la vanille,Dessert,Riz
Concombres,Entrée,legumes autres
Poêlée saveur des Indes,Plat,legumes autres
Pilon de poulet confit,Plat,Volaille
Emmental,Fromage,Fromage
Banane,Dessert,Banane
Haricots beurre,Accompagnement,Legumineuse autre
velouté de lentilles bio,Entrée,Legumineuse autre
salade de mâche,Accompagnement,legumes autres
carottes râpées bio,Entrée,legumes racines
Parmentier de poisson,Plat,Poissons
Yaourt aro,Fromage,Lait
Jambon fumé,Entrée,Porc
Mogettes,Accompagnement,Legumineuse autre
Dés de betteraves,Entrée,legumes racines
Fromage blanc / Dattes,Fromage,Lait
Pomme,Dessert,fruits autre
Bâtonnière de légumes,Accompagnement,legumes autres
tomates,Accompagnement,Tomates
Chanteneige,Fromage,Fromage
Poisson pané,Plat,Poissons
salade de riz (Riz,Accompagnement,Riz
maïs),Accompagnement,Mais
REPAS NOEL,Plat,
Pommes duchesse  0.268 \x80,Accompagnement,pomme de terre
Sauté de chapon ou canard,Plat,Volaille
Omelette,Plat,oeufs
Poire,Dessert,fruits autre
Carottes à la crème,Accompagnement,legumes racines
Pizza au fromage,Plat,Fromage
lasagne / parmentier,Plat,Boeuf
carottes beurre provençal,Accompagnement,legumes racines
poisson Meunière,Plat,Poissons
escalope de poulet au jus,Plat,Volaille
petits pois,Accompagnement,Legumineuse autre
beurre blanc,Accompagnement,Huile Colza
pomme vapeur,Accompagnement,pomme de terre
Filet de poisson,Plat,Poissons
poisson meunère,Plat,Poissons
Frites,Accompagnement,pomme de terre
Paëlla au poulet,Plat,Riz
Fromage blanc / miel,dessert,Lait
Salade verte / demi-oeuf,Entrée,oeufs
Carottes râpées,Entrée,legumes racines
Rôti de dinde au jus,Plat,Volaille
Banane,dessert,Banane
Camembert,fromage,Fromage
Haricots verts,Accompagnement,legumes autres
Galettes broco/carottes,Plat,legumes racines
Edam,fromage,Fromage
Pizza,Plat,Blé Seigle
tarte au citron Boncolac,dessert,Blé Seigle
Poisson sauce beurre blanc,Plat,Poissons
Melon,Entrée,agrumes
Petits pois maraîcher,Accompagnement,legumes autres
Pomme,dessert,fruits autre
concombre,Entrée,legumes autres
St paulin,fromage,Fromage
pizza,Plat,Blé Seigle
Haché de volaille/ketchup,Plat,Volaille
Blé,Accompagnement,Blé Seigle
tomate,Entrée,Tomates
concombre,Entrée,legumes autres
Sauté de veau marengo,Plat,Veau
Blé,Accompagnement,Blé Seigle
Frites,Accompagnement,pomme de terre
Yaourt aromatisé,dessert,Lait
tomate,Entrée,Tomates
tagliatelles,Plat,Blé Seigle
salade verte au thon,Entrée,legumes autres
Danette gouter/ait,dessert,Lait
Bolognaise de légumes,Plat,legumes autres
Pilon de poulet,Plat,Volaille
Choux fleurs au gratin bonduelle,Accompagnement,type chou
Gâteau aux pépites de chocolat,dessert,Blé Seigle
Tomme noire,fromage,Fromage
Pastèque,dessert,agrumes
Crème de gruyère,Entrée,Fromage
Prune,dessert,Bais et Raisins
Sauté de boeuf Bourguignon,Plat,Boeuf
Taboulé,Entrée,Blé Seigle
carottes vapeur,Accompagnement,legumes racines
Yaourt fermier bio/abricots secs,dessert,Lait
jambon fumé,Entrée,Porc
jambon de dinde,Entrée,Volaille
mogettes,Accompagnement,Legumineuse autre
Concombres,Entrée,legumes autres
Des de betteraves,Entrée,legumes racines
Raisin,dessert,Bais et Raisins
Pommes vapeur,Accompagnement,pomme de terre
Emmental,fromage,Fromage
Cassolette de poisson*,Plat,Poissons
Melon,Entrée,agrumes
Lasagnes,Plat,Blé Seigle
salade verte,Entrée,legumes autres
Yaourt fruix,dessert,Lait
Menu japonnais,Plat,
sauté de canard au curry et soja,Plat,Volaille
choux blanc bio rapée/vinaigrette soja,Entrée,type chou
gateaux yuzu,dessert,Blé Seigle
riz basmati,Accompagnement,Riz
Tarte pomme/rhubarbe,dessert,Blé Seigle
Fromage bio,fromage,Fromage
Courgettes/pommes de terre ( smr),Accompagnement,legumes autres
MENU AGORES,Plat,
Poulet certifié,Plat,Volaille
Carottes râpées bio,Entrée,legumes racines
agro,Accompagnement,
Purée de légumes verts,Accompagnement,legumes autres
poisson Meunière,Plat,Poissons
Gouda,fromage,Fromage
Radis/beurre,Entrée,legumes racines
Prunes,dessert,Bais et Raisins
Salade de riz au thon agro,Entrée,Riz
Poêlée de légumes au cumin,Accompagnement,legumes autres
Sauté de porc aux pruneaux,Plat,Porc
Pomme,dessert,fruits autre
Camembert,fromage,Fromage
parmentier de poisson,Plat,Poissons
Yaourt aro,dessert,Lait
Salade verte,Entrée,legumes autres
oeuf dur mayonnaise,Entrée,oeufs
Choux blancs bio mimolette,Entrée,type chou
Rôti de boeuf,Plat,Boeuf
sauce au poivre,Accompagnement,
Crème chocolat,dessert,Lait
coquillettes,Accompagnement,Blé Seigle
Crêpe au fromage,Plat,Blé Seigle
Edam,fromage,Fromage
Raisin,dessert,Bais et Raisins
Omelette,Plat,oeufs
brunoiseetpoelée du sud,Plat,legumes autres
Ratatouille,Plat,legumes autres
hachis parmentier,Plat,pomme de terre
Maxi Gervais,dessert,Lait
salade verte,Entrée,legumes autres
pomelos rosé,Entrée,agrumes
lentilles cuisinées,Accompagnement,Legumineuse autre
merguez,Plat,Agneau
Compote pomme,dessert,fruits autre
Tomme blanche,fromage,Fromage
Concombres,Entrée,legumes autres
saucisse Chipolatas,Plat,Porc
Salade de pâtes aux tomates confites agro,Entrée,Blé Seigle
Jambon fumé,Entrée,Porc
Marmelade de pommes,dessert,fruits autre
dinde,Plat,Volaille
Maxi gervais,dessert,Lait
Gaspacho,Entrée,legumes autres
St paulin,fromage,Fromage
Paëlla poulet fruits de mer,Plat,Riz
croutons,Accompagnement,Blé Seigle
Clémentines,dessert,agrumes
Bourguignon,Plat,Boeuf
Sauté de boeuf,Plat,Boeuf
coquillette,Accompagnement,Blé Seigle
Ile flottante,dessert,Lait
Concombres,Entrée,legumes autres
Pizza,Plat,Blé Seigle
Omelette,Plat,oeufs
Epinards,Accompagnement,legumes autres
Poire,dessert,fruits autre
Morbier,fromage,Fromage
Yaourt aro,dessert,Lait
Blanquette de veau,Plat,Veau
Choux coleslaw,Entrée,type chou
Riz,Accompagnement,Riz
Choux rouges bio,Entrée,type chou
Rôti de boeuf,Plat,Boeuf
Sauce au poivre,Accompagnement,
Frites,Accompagnement,pomme de terre
Yaourt bio,dessert,Lait
Chili de légumes,Plat,legumes autres
Crème dessert vanille,dessert,Lait
Endives / demi-oeuf (Educalim),Entrée,oeufs
Riz basmati,Accompagnement,Riz
Pilon de poulet confit,Plat,Volaille
Lait bio,dessert,Lait
Gâteau au chocolat,dessert,Blé Seigle
Mâche au surimi,Entrée,legumes autres
Choux Bruxelles Educalim,Accompagnement,type chou
et râpé,Accompagnement,Fromage
Fromage blanc / dattes,dessert,Lait
Concombres,Entrée,legumes autres
Timbale de pâtes au jambon,Plat,Blé Seigle
Nuggets de poisson,Plat,Poissons
Edam,fromage,Fromage
Cocktail de fruits,dessert,fruits autre
Choux raves bio,Entrée,legumes racines
Purée de pommes de terre,Accompagnement,pomme de terre
Lasagnes,Plat,Blé Seigle
Salade verte,Entrée,legumes autres
Rillettes de thon,Entrée,Poissons
Yaourt aro,dessert,Lait
Choux blancs à la mimolette,Entrée,type chou
des de milanette,Accompagnement,pomme de terre
Filet de poulet,Plat,Volaille
Pommes noisettes,Accompagnement,pomme de terre
Clémentines,dessert,agrumes
Pomme bio,dessert,fruits autre
Tome bio en 1 kg,fromage,Fromage
potage tomate/vermicelles,Entrée,Tomates
sauté de boeuf Bourguignon,Plat,Boeuf
purée de légumes verts,Accompagnement,legumes autres
betteraves rapées bio,Entrée,legumes racines
Salade verte,Entrée,legumes autres
Parmentier de poisson,Plat,Poissons
Yaourt bio,dessert,Lait
Sauté de dinde aux pruneaux,Plat,Volaille
Macedoine mayonnaise,Entrée,legumes autres
Ananas,dessert,fruits autre
riz,Accompagnement,Riz
Gouda,fromage,Fromage
Omelette,Plat,oeufs
Tarte pommes,dessert,Blé Seigle
ble/betteraves /mais,Entrée,legumes racines
Gratinée de légumes,Plat,legumes autres
emmental 220gr,fromage,Fromage
Choux fleurs bécha agro,Accompagnement,type chou
Haché de poulet,Plat,Volaille
Clémentines,dessert,agrumes
Avocat/tomate/maïs,Entrée,legumes autres
Endives et mimolette,Entrée,type chou
Jambon fumé,Entrée,Porc
jambon de dinde,Entrée,Volaille
lentilles maison,Accompagnement,Legumineuse autre
Crème choco,dessert,Lait
mini Blinis,Accompagnement,Blé Seigle
sapin de noel,Entrée,legumes autres
REPAS NOËL,Plat,
sauce aux marrons,Accompagnement,
rillette de saumon fumée,Entrée,Poissons
Pommes duchesse,Accompagnement,pomme de terre
Rôti de dinde de Noel,Plat,Volaille
Ananas,Dessert,Fruits autres
Betteraves au gruyère,Entrée,Légumes racines
Hachis Parmentier,Plat,Pomme de terre
des de gruyère,Fromage,Fromage
Salade verte,Accompagnement,Légumes autres
Pilon de poulet,Plat,Volaille
Maxi gervais Fruits rouges,Fromage,Fromage
lentilles cuisinés (boîtes),Plat,Légumineuse autre
Demi-pamplemousse,Entrée,Agrumes
Bgalette des rois,Dessert,Blé Seigle
Epinards à la crème,Plat,Légumes autres
concombre,Entrée,Légumes autres
Belle de nantes,Accompagnement,Légumes racines
Poisson meunière,Plat,Poissons
Crêpe au fromage,Dessert,Blé Seigle
Petits pois maraichers,Accompagnement,Légumes autres
Chèvre,Fromage,Fromage
j de dinde,Plat,Volaille
Jambon fumé,Entrée,Porc
Kiwi bio,Dessert,Fruits autres
Riz,Accompagnement,Riz
salade de mâche/noix,Entrée,Légumes autres
sauce niçoise,Plat,Légumes autres
filet de poisson,Plat,Poissons
Ile flottante,Dessert,Lait
sauté de veau chasseur,Plat,Veau
Carottes râpées bio,Entrée,Légumes racines
Frites,Accompagnement,Pomme de terre
Yaourt bio,Fromage,Lait
Pomme bio,Dessert,Fruits autres
Omelette,Plat,Oeufs
Poêlée de légumes,Accompagnement,Légumes autres
St paulin,Fromage,Fromage
Potage potiron/ croûtons,Entrée,Légumes autres
sauce au cumin,Plat,Légumes autres
Fromage blanc / miel,Fromage,Lait
et gruyère râpé,Fromage,Fromage
Pâtes à la bolognaise,Plat,Blé Seigle
Salade au surimi,Entrée,Légumes autres
Choux rouges bio,Accompagnement,Type chou
Yaourt aro,Fromage,Lait
Rôti de porc,Plat,Porc
jus de veau,Plat,Veau
roti de dinde,Plat,Volaille
Pommes rissolées,Accompagnement,Pomme de terre
Poulet dAncenis,Plat,Volaille
Purée de légumes verts,Accompagnement,Légumes autres
Banane,Dessert,Banane
Camembert,Fromage,Fromage
Lentilles/maïs/tomates,Plat,Légumineuse autre
Nuggets de poisson,Plat,Poissons
Tarte aux pommes,Dessert,Fruits autres
Betteraves râpées,Entrée,Légumes racines
Fromage vache/brebis,Fromage,Fromage
Gratinée de légumes,Plat,Légumes autres
Saucisse de Toulouse,Plat,Porc
Tarte au fromage,Dessert,Fromage
h verts,Accompagnement,Légumes autres
Kiwi bio,Dessert,Fruits autres
merguez de volaille,Plat,Volaille
Edam,Fromage,Fromage
Purée de carottes agro,Accompagnement,Légumes racines
Rôti de dinde au jus,Plat,Volaille
Liégeois chocolat,Dessert,Lait
Potage tomate / vermicelle,Entrée,Légumes autres
Boeuf bourguignon,Plat,Boeuf
Pommes noisettes,Accompagnement,Pomme de terre
Choux blanc bio à la mimolette,Entrée,Type chou
Marmelade de pommes bio,Dessert,Fruits autres
Riz,Accompagnement,Riz
Poisson sauce aigre douce,Plat,Poissons
NOUVEL AN CHINOIS,,
Salade de fruits exotiques,Dessert,Fruits autres
Nems,Entrée,Blé Seigle
Endives,Entrée,Légumes autres
Choux fleurs au gratin,Plat,Type chou
grillé aux fruits,Dessert,Fruits autres
Tomme noire,Fromage,Fromage
thon,Plat,Poissons
Nuggets de volaile,Plat,Volaille
Orange,Dessert,Agrumes
Pizza,Plat,Blé Seigle
Sauté de veau,Plat,Veau
sauce Tagine,Plat,Légumes autres
Carottes au cumin,Accompagnement,Légumes racines
Champanet,Fromage,Fromage
Poisson beurre blanc,Plat,Poissons
pomme de terre sautées,Accompagnement,Pomme de terre
Betteraves en cube,Entrée,Légumes racines
ananas,Dessert,Fruits autres
Salade /demi-oeuf,Entrée,Oeufs
Semoule,Accompagnement,Blé Seigle
et fruits de mer,Plat,Poissons
Fromage bio,Fromage,Fromage
Boulettes de boeuf sauce,Plat,Boeuf
Rillettes de thon / citron,Entrée,Poissons
Paëlla au poulet,Plat,Riz
Yaourt aromatisé,Fromage,Lait
Clémentines,Dessert,Agrumes
tomate,Plat,Légumes autres
Petits pois 5/1,Accompagnement,Légumes autres
Rôti de veau,Plat,Veau
Demi-pamplemousse,Entrée,Agrumes
Crème de gruyère,Fromage,Fromage
jus de veau,Plat,Veau
Eclair chocolat,Dessert,Lait
Pomme bio,Dessert,Fruits autres
Gratin de courgettes,Plat,Légumes autres
St paulin,Fromage,Fromage
Poisson meunière,Plat,Poissons
Potage carottes,Entrée,Légumes racines
Orange,Dessert,Agrumes
salade de pâtes agro confites,Entrée,Blé Seigle
Purée de légumes verts,Accompagnement,Légumes autres
Jambon fumé,Entrée,Porc
dinde,Plat,Volaille
Camembert,Fromage,Fromage
Choux rouges sauce crème,Plat,Type chou
salade verte,Accompagnement,Légumes autres
Crème chocolat bio,Dessert,Lait
Parmentier de poisson,Plat,Poissons
Carottes râpées bio,Entrée,Légumes racines
Yaourt fermier bio,Fromage,Lait
Blanquette de veau,Plat,Veau
Riz,Accompagnement,Riz
Port salut,Fromage,Fromage
Omelette,Plat,Oeufs
Taboulé,Entrée,Légumes autres
Kiwi bio,Dessert,Fruits autres
Gratinée de légumes,Plat,Légumes autres
Tartiflette au jambon et,Plat,Pomme de terre
raclette crumble,Fromage,Fromage
Fromage blanc,Fromage,Lait
abricots secs,Dessert,Fruits secs
Mâche/surimi,Entrée,Légumes autres
Gruyère 220gr,Fromage,Fromage
macédoine mayo,Entrée,Légumes autres
Haché de poulet,Plat,Volaille
Banane,Dessert,Banane
Courgettes à la tomate,Plat,Légumes autres
Betteraves râpées bio,Entrée,Légumes racines
Poisson sauce beurre blanc,Plat,Poissons
Palet brocolis/carottes,Accompagnement,Légumes autres
Chanteneige,Fromage,Fromage
Crêpe au sucre,Dessert,Blé Seigle
Macédoine mayonnaise,Entrée,Légumes autres
Yaourt fermier bio,Fromage,Lait
Salade verte,Accompagnement,Légumes autres
Hachis Parmentier,Plat,Pomme de terre
pesée),,
Ile flottante,Dessert,Lait
Gratin endives,Plat,Légumes autres
Jambon fumé,Entrée,Porc
dinde,Plat,Volaille
et pommes de terre (observation educalim sans,Accompagnement,Pomme de terre
Concombres,Entrée,Légumes autres
Petits pois maraîcher,Accompagnement,Légumes autres
Pizza,Plat,Blé Seigle
Edam,Fromage,Fromage
Banane,Dessert,Banane
Poulet SDA,Plat,Volaille
Eclair chocolat,Dessert,Lait
Camembert,Fromage,Fromage
Poisson meunière,Plat,Poissons
Brocolis à la crème,Plat,Légumes autres
Betteraves râpée bio,Entrée,Légumes racines
Kiwi,dessert,fruits autre
Tarte au fromage,dessert,Fromage
St Nectaire,dessert,Fromage
expée direct des poches de 2,Plat,Poissons
marmelade de pommes,dessert,fruits autre
Haché de poulet,Plat,Volaille
Choux blancs à la mimolette,Accompagnement,type chou
sauté de veau Niçois,Plat,Veau
Frites,Accompagnement,pomme de terre
Cocktail de fruits au sirop,dessert,fruits autre
biscuit St michel,dessert,Blé Seigle
Purée de légumes verts,Accompagnement,legumes autres
Fromage blanc,Fromage,Lait
filet de poisson sauce normande,Plat,Poissons
Radis/beurre,Entrée,legumes racines
Riz basmati,Accompagnement,Riz
Pomme,dessert,fruits autre
chili,Plat,Boeuf
oeufs durs,Entrée,oeufs
Fromage bio,Fromage,Lait
Carottes râpées bio/demi-oeuf,Entrée,legumes racines
Lait bio,Accompagnement,Lait
Tarte au citron,dessert,Blé Seigle
Epinards,Accompagnement,legumes autres
Nuggets de volaille+ketchup,Plat,Volaille
Pamplemousse,Entrée,agrumes
Salade de pommes de terre (pommes de terre,Accompagnement,pomme de terre
Ananas,dessert,fruits autre
Rôti de boeuf,Plat,Boeuf
Gouda,Fromage,Lait
concombres),Entrée,legumes autres
Palets brocolis/carottes,Accompagnement,legumes autres
tomates,Entrée,Tomates
et sauce poivre,,
Salade verte/surimi,Entrée,legumes autres
Yaourt fermier bio,Fromage,Lait
Timbale de pâtes au jambon (Kidysalt),Plat,Blé Seigle
Choux rouges bio,Accompagnement,type chou
Poisson beurre blanc (frais),Plat,Poissons
Poêlée potatoes agro,Accompagnement,pomme de terre
Flan chocolat,dessert,Lait
Sauté de porc Niçois,Plat,Porc
Compote bio,dessert,fruits autre
Bettraves au gruyère,Entrée,legumes racines
Sauté de dinde Niçois,Plat,Volaille
Pommes noisette,Accompagnement,pomme de terre
Grignottes de poulet/moutarde,Plat,Volaille
MERCREDI AVEC CLASSE,,
Petits pois boîte,Accompagnement,Legumineuse autre
Salade de pâtes agro,Entrée,Blé Seigle
Liégeois choco,dessert,Lait
PA lundi,,
des de chevre,Entrée,Fromage
salade verte,Entrée,legumes autres
Semoule (Kidysalt),Accompagnement,Blé Seigle
Banane,dessert,fruits autre
ssauce tagine,Accompagnement,Huile Olive
Boulettes de boeuf,Plat,Boeuf
St Paulin,Fromage,Lait
flan,dessert,Lait
Salade de tomates,Entrée,Tomates
citron,,
Gratinée de légumes,Accompagnement,legumes autres
Petits poisson panés,Plat,Poissons
Salade,Entrée,legumes autres
/ citron,,
yaourt aromatisé,Fromage,Lait
Lasagnes,Plat,Blé Seigle
PA jeudi,,
Rillettes de thon,Entrée,Poissons
Tarte au fromage,dessert,Fromage
PA lundi,,
Kiwi,dessert,fruits autre
Gouda,Fromage,Lait
Pilon de poulet,Plat,Volaille
Petits pois,Accompagnement,Legumineuse autre
Riz basmati,Accompagnement,Riz
Tomate/demi-oeuf,Entrée,Tomates
Poisson sauce normande,Plat,Poissons
Endives /demi-oeuf educalim,Entrée,legumes autres
Crème chocolat bio Péard,dessert,Lait
Sauté de dinde chasseur,Plat,Volaille
choux bruxelles educalim,Accompagnement,type chou
tome belle de nantes,Fromage,Lait
Palet brocolis/carottes,Accompagnement,legumes autres
Beignet pomme,dessert,pomme de terre
Concombres vgte,Entrée,legumes autres
Feuilleté fromage CPierre Clot,Plat,Fromage
Purée de légumes verts,Accompagnement,legumes autres
Rôti de boeuf,Plat,Boeuf
Mimolette,Fromage,Lait
jus de veau,,
Fraises au sucre,dessert,fruits autre
Flageolets boîte,Accompagnement,Legumineuse autre
Jambon fumé,Entrée,Porc
jambon de dinde,Entrée,Volaille
Melon,Entrée,fruits autre
Flan chocolat,dessert,Lait
Crème dessert vanille laiterie St Père,dessert,Lait
Carottes râpées,Entrée,legumes racines
Pommes rissolées,Accompagnement,pomme de terre
Poisson sauce beurre blanc,Plat,Poissons
yaourt fermier bio,Fromage,Lait
salade douceur / surimi,Entrée,legumes autres
et gruyère râpé,,
Pâtes à la bolognaise (Collet),Plat,Blé Seigle
Salade de fruits frais,dessert,fruits autre
PA vendredi,,
Courgettes beurre provençale,Accompagnement,legumes autres
Poisson meunière,Plat,Poissons
Salade de riz agro Collet,Entrée,Riz
Tome noire,Fromage,Lait
Suisses aromatisés,Fromage,Lait
Choux blancs mimolette,Accompagnement,type chou
Rôti de porc froid,Plat,Porc
rôti de dinde,Plat,Volaille
Chips,Accompagnement,pomme de terre
ketchup,,
Ecoles,,
Hachis parmentier,Plat,Boeuf
Ile flottante,dessert,Lait
PA CHANGE,,
salade,Entrée,legumes autres
Melon,Entrée,fruits autre
gratin de choux fleurs Bonduelle,Accompagnement,type chou
Radis / beurre,Entrée,legumes racines
jus de veau,,
Rôti de dinde,Plat,Volaille
Cantal,Fromage,Lait
Tarte grillée aux pommes,dessert,fruits autre
KYDISALT,,
Jambon fumé,Entrée,Porc
Yaourt fermier bio,Fromage,Lait
Concombres,Entrée,legumes autres
Lentilles,Accompagnement,Legumineuse autre
Epinards agro,Accompagnement,legumes autres
Edam,Fromage,Lait
Omelette,Plat,oeufs
Pizza au fromage,Plat,Fromage
Fraises au sucre,dessert,fruits autre
Tarte au fromage,dessert,Fromage
Marmelade de pommes (logistique),dessert,fruits autre
Saucisse de Toulouse,Plat,Porc
Crème dessert vanille St Père,dessert,Lait
PA jeudi,,
Ecole,,
Rôti de boeuf,Plat,Boeuf
salade au gruyère,Entrée,Fromage
Banane,dessert,fruits autre
ketchup,,
Pommes noisette,Accompagnement,pomme de terre
Pastèque,dessert,fruits autre
PA lundi,,
Paëlla,Plat,Riz
Camembert,Fromage,Lait
Compote pomme-framboise,dessert,fruits autre
Kydisalt coquillettes,Accompagnement,Blé Seigle
Poisson beurre blanc,Plat,Poissons
Gouda,Fromage,Lait
Salade de tomates,Entrée,Tomates
Eclair chocolat,dessert,Lait
Gratinée de légumes,Accompagnement,legumes autres
Nectarine,dessert,fruits autre
tomates,Entrée,Tomates
salade de lentilles bio (Lentilles,Entrée,Legumineuse autre
Chanteneige,Fromage,Lait
Poêlée victoria,Accompagnement,legumes autres
Poulet fermier SDA,Plat,Volaille
maïs),Accompagnement,Mais
St nectaire,Fromage,Lait
tarte abricots framboise,dessert,fruits autre
Melon,Entrée,fruits autre
Poisson meunière,Plat,Poissons
Courgettes béchamel,Accompagnement,legumes autres
Pommes potatoes,Accompagnement,pomme de terre
salade / mozzarella,Entrée,Fromage
Fraises,dessert,fruits autre
Sauté de veau aux agrumes,Plat,Veau
Haricots verts bio Naturdis,Accompagnement,Legumineuse autre
Cerises,dessert,Bais et Raisins
steak de soja tomate et basilic,Plat,Soja et composé
Fromage Belle de Nantes bio,Fromage,Lait
Carottes râpées bio,Entrée,legumes racines
Sauté de porc chasseur,Plat,Porc
Sauté de dinde chasseur,Plat,Volaille
Gâteau au fromage blanc Le Ster,dessert,Lait
Palets brocolis/carottes,Accompagnement,legumes autres
Salade au thon,Entrée,Poissons
Camembert,Fromage,Lait
nectarine,dessert,fruits autre
Epinards à la crème agro,Accompagnement,legumes autres
Crème de gruyère,Fromage,Lait
Salade de pâtes aux tomates confites,Entrée,Tomates
Rôti de dinde,Plat,Volaille
Pastèque,dessert,fruits autre
Flan caramel,dessert,Lait
sauce tagine,Accompagnement,Huile Olive
Kydisalt,Accompagnement,Blé Seigle
Semoule de couscous SMR,Accompagnement,Blé Seigle
Boulettes de viande,Plat,Boeuf
Choux blancs / mimolette,Accompagnement,type chou
Marmite du Perray,Plat,Boeuf
Compote (stock),Dessert,fruits autre
Pommes rissolées,Accompagnement,pomme de terre
gruyre râpé,Fromage,Fromage
fruits rouges cuisinés ( idée fruits),Dessert,fruits autre
Raviolis,Entrée,Blé Seigle
Radis / beurre,Entrée,legumes racines
Fromage blanc / fruits rouges,Dessert,Fromage
Pommes vapeur,Accompagnement,pomme de terre
Betteraves (stock) aux dés de chèvre,Entrée,legumes racines
sauté de canard à lorange,Plat,Canard
abricots,Dessert,fruits autre
Crêpe au fromage,Plat,Fromage
Rôti de boeuf / ketchup,Plat,Boeuf
St paulin,Fromage,Fromage
Banane,Dessert,Banane
ketchup,Accompagnement,Tomates
Haricots verts,Accompagnement,legumes autres
Terrine de poisson,Entrée,Poissons
Lait bio,Accompagnement,Lait
tarte au citron,Dessert,agrumes
macédoine,Accompagnement,legumes autres
mayonnaise,Accompagnement,Oeuf
Melon,Entrée,melon
salade verte,Accompagnement,legumes autres
beurre,Accompagnement,Produit laitier
Lasagnes,Plat,Blé Seigle
Yaourt velouté fruix,Dessert,Produit laitier
radis,Entrée,legumes racines
Carottes,Accompagnement,legumes racines
sauté de veau,Plat,Veau
Eclair chocolat,Dessert,Produit laitier
Camembert,Fromage,Fromage
Pastèque,Entrée,pastèque
Purée de légumes verts,Accompagnement,legumes autres
Gouda,Fromage,Fromage
raisin chasselas,Dessert,Raisins
Poisson meunière,Plat,Poissons
Taboulé,Entrée,Blé Seigle
Melon,Entrée,melon
Légumes poêlés et potatoes,Accompagnement,legumes autres
Nuggets de poisson,Plat,Poissons
Yaourt aromatisé,Dessert,Produit laitier
Pizza,Plat,Blé Seigle
Pomme,Dessert,pomme
Tomme noire,Fromage,Fromage
Paupiette de volaille aux raisins ( fraîche),Plat,Volaille
Salsifis provençal,Accompagnement,legumes racines
Choux blancs bio mimolette,Accompagnement,type chou
Ananas,Dessert,ananas
Rôti de boeuf,Plat,Boeuf
jus de veau,Accompagnement,Veau
Pâtes,Accompagnement,Blé Seigle
salade carnaval (Maïs,Entrée,Maïs
Edam,Fromage,Fromage
Omelette,Plat,oeufs
Courgettes à la béchamel,Accompagnement,legumes autres
concombres),Accompagnement,concombres
Prunes Reine-Claude,Dessert,prunes
tomate,Accompagnement,Tomates
Yaourt fermier bio,Dessert,Produit laitier
et ses légumes Collet,Accompagnement,legumes autres
Pastèque,Entrée,pastèque
Couscous merguez,Plat,Agneau
Rôti de porc,Plat,Porc
Concombres à la crème,Entrée,concombres
purée de p de terre,Accompagnement,pomme de terre
Rôti de dinde,Plat,Volaille
jus de veau,Accompagnement,Veau
Ile flottante,Dessert,oeufs
Sauté de dinde dijonnaise,Plat,Volaille
cornichon,Accompagnement,legumes autres
Gruyère,Fromage,Fromage
Haricots verts dAucy,légume,Haricots verts
pâté de volaille indiv,Entrée,Volaille
Banane,Dessert,Banane
Pâté bio,Entrée,Porc
Poisson sauce niçoise,Plat,Poissons
Carottes râpées,Entrée,legumes racines
Choux fleurs au gratin,Accompagnement,type chou
Chanteneige,Fromage,Fromage
Tarte normande aux pommes,Dessert,pomme
Tarte au fromage,Plat,Fromage
Petits pois,Accompagnement,Legumineuse autre
Prunes reine-claude,Dessert,prunes
Haché de poulet,Plat,Volaille
sauce beurre blanc,Accompagnement,Produit laitier
Pâtes aux tomates confites,Plat,Blé Seigle
chevretine,Fromage,Fromage
Poire,Dessert,poire
Poisson,Plat,Poissons
Gratinée de légumes,Accompagnement,legumes autres
Saucisse bio,Plat,Porc
Betteraves bio ?,Entrée,legumes racines
Fromage bio,Fromage,Fromage
Mogettes de vendée,Accompagnement,Legumineuse autre
Marmelade de pommes bio,Dessert,pomme
MELODIE DES METS LOCAUX,,
Salade douceur,Entrée,legumes autres
1/2 oeuf,Plat,oeufs
Riz basmati,Accompagnement,Riz
Galette tomate/basilic sauce tomate,Plat,Tomates
Danette goûter lait,Dessert,Produit laitier
micro beurre,Accompagnement,Produit laitier
Epinards maison,Accompagnement,legumes autres
St Paulin,Fromage,Fromage
Pilon de poulet,Plat,Volaille
radis/beurre,Entrée,legumes racines
Tarte grillée aux pommes,Dessert,pomme
Raisin muscat,Dessert,Raisins
Mimolette,Fromage,Fromage
Feuilleté fromage,Plat,Fromage
Poêlée Victoria agro,Accompagnement,legumes autres
Jambon fumé,Plat,Porc
jambon de dinde,Plat,Volaille
Rôti de boeuf,Plat,Boeuf
Frites,Accompagnement,pomme de terre
ketchup,Accompagnement,Tomates
Concombres,Entrée,concombres
Yaourt bio,Dessert,Produit laitier
Maxi Gervais aux fruits,Dessert,Produit laitier
Poisson meunière,Plat,Poissons
Tomates,Accompagnement,Tomates
Tagliatelles,Accompagnement,Blé Seigle
Semoule,Accompagnement,Blé Seigle
Boulettes de boeuf en tagine,Plat,Boeuf
Ananas,Dessert,ananas
Gouda,Fromage,Fromage
Salade au surimi,Entrée,Poissons
Choux rouges bio,Accompagnement,type chou
Crème dessert vanille,Dessert,Produit laitier
Rôti de dinde,Plat,Volaille
jus de veau,Accompagnement,Veau
Pommes rissolées,Accompagnement,pomme de terre
Gaspacho,Entrée,legumes autres
Tarte au citron,Dessert,agrumes
légumes poelé et potatos,Accompagnement,legumes autres
sauté de boeuf Bourguignon,Plat,Boeuf
